Stars,Titles,Comments
4.0 out of 5 stars,They look great,Haven?? worn them yet but they look great!
5.0 out of 5 stars,Wonderful,Perfect for sunny days snowboarding.
5.0 out of 5 stars,Great value and product!,"Really liked these! First time skier and these were awesome. Didn?? feel sweaty in them at all, did a great job at ventilating. Would recommend for sure!"
5.0 out of 5 stars,Good googles for price,nothing wrong with them could fit glasses behind had great time skiing
5.0 out of 5 stars,Great buy,Used them every day for our ski trip. Ill never spend hundreds on ski goggles again.
4.0 out of 5 stars,"Great, and affordable - 4.8 stars","Perfectly good goggles for the price especially. They protect from the sun nicely, cover plenty of face, and don't fog up at all even with cloth over my mouth. They haven't scratched yet, and the strap is removable making it easy to swap out parts. I took a star away for comfort, but they're no worse than my previous pair of Smiths."
4.0 out of 5 stars,Useful,Love it
5.0 out of 5 stars,Versatile and Comfortable,My teenage kids used these for their most recent ski trip. One day was sunny and the next was snowy. Goggles worked fine on both days.
5.0 out of 5 stars,Cool glasses for infrequent skier,"I was heading to Italy and needed some cheap ski goggles. I ski once a year and was not looking to pay 60 dollars for a pair of goggles. Orange is my favorite color as well. These goggles look awesome, are comfortable and wont break the bank. Exactly what I needed."
5.0 out of 5 stars,Works great with snowblower,We use these while snow blowing in the wind conditions of rural Wisconsin. They work great. Takes the eye sting away when idea snow is in our faces.
2.0 out of 5 stars,Great look on these googles but the lens scratch VERY ...,"Great look on these googles but the lens scratch VERY easily. I Bought the Silver version last November and within 6 or 7 wears the Silver coating on the lens had rubbed of in several spots on the lower third wear they might have rubbed against my fleece neck/face mask.  Fleece is the key word here.  Anywho I re-ordered replacement lens a week ago and they arrived with very clear and deep scratches on them right out of the box.  Clearly no one (human) looked at these before they were shipped and if they did and sent them anyway,  that speaks even worse for this Vendor.  They are very cheep but there is no bargain here, ski googles can cost 100$ so you get what you pay for here for a 1/4 of that price.  As much as I like the look I have returned my new scratched lens and I am going to spend my money elsewhere."
5.0 out of 5 stars,Thanks,Love them hit in the neighborhood
5.0 out of 5 stars,BEST GOGGLES I HAVE EVER BOUGHT,"Cannot recommend these enough!! Clear image, cool color and stylish too. Best goggles I have ever taken out on the slopes."
5.0 out of 5 stars,Great!,How it cuts down the sun.
5.0 out of 5 stars,Great value,"Great value! Fits over helmet, no fog"
5.0 out of 5 stars,Looking good!,Great product looks nice and great quality
5.0 out of 5 stars,Would buy another in the future,I love them they look awesome
5.0 out of 5 stars,No fog!,"Awesome product, enough said!??"
5.0 out of 5 stars,Great for the value,Great goggles
4.0 out of 5 stars,Great Goggle simular to Dragon or Smith,"Looking for a polarized ski goggle under $350? Here you go. I'm a ski instructor and this compares nicely to Dragon and Smith type goggles with a medium frame. Helmet friendly and with additional lenses available and very inexpensive for the quality. If your thinking of buying goggles at $120 or above first think of this one, great goggle."
3.0 out of 5 stars,Not for bigger faces. Not an xl.,Not made for a large noggin like mine. For smaller faces. Ok otherwise.
5.0 out of 5 stars,Report abuse,Translate review to English
5.0 out of 5 stars,Awesome,Exactly like the photo
5.0 out of 5 stars,Great deal,These goggles are better than expected.
5.0 out of 5 stars,Love it,"Pretty, comfortable, love the product"
5.0 out of 5 stars,AMAZING GOGGLES!!!!,DIDNT FOG UP ONCE!was great for bright sun - like perfect sunglasses - good 180deg viewnext time I would prefer to go with a lower profile goggles like my friend had - they are not as bigbut these were amazing and did a great job -  would def buy again
3.0 out of 5 stars,Not bad.,It's decent for what you pay and cheap enough to not care they get messed up.
3.0 out of 5 stars,Don't get sunscreen on them,"I really enjoyed these goggles for the first four ski trips, they cover a large part of your face to keep you warm and protected from the elements, I can even wear my prescription glasses underneath them and they still breathe fairly well. However, the last time I went up, I accidentally got some sunscreen spray on them and even though I tried to wipe off immediately, the damage was done and the nice reflective coating is permanently eroded. Very unfortunate and I guess that's why I can't have nice things..."
4.0 out of 5 stars,Great value for money,Great value for money
5.0 out of 5 stars,Must buy!!,Love these goggles!!! They look and fit great. We noticed a handful of other people were wearing the same goggles. Couldnt be happier with these for the price!
5.0 out of 5 stars,Item description,Really good quality
5.0 out of 5 stars,Great,These worked great for day boarding but were a little to dark for night boarding. They did not fog up at all!! Great for the price.
5.0 out of 5 stars,Good value,Pretty good for the price
4.0 out of 5 stars,"Coverage was great, visibility was decent","Wore the Lagopus X3 blue in Colorado in January 2016. Weather was 15 degrees, cloudy, and snowy at times. Coverage was great, visibility was decent, so I would not recommend for beginner skiers/boarders to wear this in poor weather conditions. But the look was amazing with the borderless, detachable lens. Got dozens of compliments every hour."
5.0 out of 5 stars,These are comfortable and look great for the price,These are comfortable and look great for the price. Pros: Lens work Great. Nice and big. Look cool on top of it Cons: Only downside is field of view was not what i thought it would be.I also go the Black Zioner straps which i was hoping for and not the BE NICE strap. I am very happy with this order and will be buying the yellow lens for night or stormy riding.Thanks guys for the awesome product!
5.0 out of 5 stars,Can?? go wrong for the price,Great value. Would definitely recommend.
1.0 out of 5 stars,Poor quality product / zero stars,We bought 2 different brands for our day trip. Their pair had a scratch inside when we received it but it was last min and for the price we decided it was small enough. Nope immediately thry fogged up all day long and u can?? wipe the inside of the glasses without scratching them up. A few hrs on the mountain and they were trash. Very disappointing
5.0 out of 5 stars,Good deal,Was a gift.
5.0 out of 5 stars,Fast,Don?? ask
5.0 out of 5 stars,Perfect beginner goggles,"Bought these for a beginners first ride, they held up well & did not get foggy on them. Oversized to perfection!"
5.0 out of 5 stars,Covered my glasses perfectly.,The goggles came with little notches cut out of the foam so they fit over my glasses perfectly. On a day that was warm at the bottom and windy/cold at the top there was no fogging and good vision in flat light. They are very comfortable with a wide adjustable strap.
5.0 out of 5 stars,Great,"Love these, we use them when we're riding our side by side."
5.0 out of 5 stars,Great value,Very nice goggles for the price.  Hard to beat when the entire goggles are cheaper than replacement lenses on others.
5.0 out of 5 stars,bought as gift,the person loved it!!
5.0 out of 5 stars,Great purchase,Definitely worth the money. Offers a clear view with darker tint on the edges for a comfortable & fully protected experience.
5.0 out of 5 stars,Can't get much better,"There are a few companies who must all get their goggles from the same place. Zionor, Deft Optics, Xevo and im sure many more. What I ended up doing was buying a strap from deft, the lens from Xevo and the fram from Zionor. A completely customizable goggle for under 100."
5.0 out of 5 stars,Great Goggles,Excellent goggles used this week cannot tell the difference between these and my expensive pair of goggles that I'll never buy again
5.0 out of 5 stars,Does not fog up,"Looks great, feels great and superb price. You will be paying way more for similar at any sporting goods store."
5.0 out of 5 stars,great ski goggles,"They came exactly when again said they would arrive, and I used overnight shipping. I am very impressed with these goggles, they look just like they do in the pictures and work very well! The strap mine came with is black and white and it's adjustable so if fits on a helmet or on my head. The only thing is they fogged up near the top occasionally, but after allowing them to vent for a few minutes they were good to go again. I love these goggles!!"
5.0 out of 5 stars,No fog,Awesome ??
4.0 out of 5 stars,"wanted a pair of goggles that I could wear my prescription glasses under and these seem to fit just fine, will revise my rating","Just got them in the mail, wanted a pair of goggles that I could wear my prescription glasses under and these seem to fit just fine, will revise my rating when I get back from the snow trip next month but for now they fit well, look good and work fine with glasses."
4.0 out of 5 stars,Very good for the price. Im happy I made the purchase.,"Pros:Really liked the mirror effect. Colors as expected. Fits nicely. Got so many compliments!Cons:They scratch easily. I wear glasses and you can't fit them inside the goggles. Which I knew ahead of buying.Overall, would definately buy again!"
4.0 out of 5 stars,Good purchase,Solid purchase for the priceCons fogged up pretty quickly after a couple runs while wearing a tight fitting helmet
5.0 out of 5 stars,Excellent,Great product
5.0 out of 5 stars,Great buy,These things are awesome!! Comfy never fog and super light weight. Definitely worth every penny
5.0 out of 5 stars,Worth it,"Pretty awesome, a price worthy ski mask that looks cool at the same time. Highly recommend"
5.0 out of 5 stars,Glad I got it ??,It's comfortable looks amazing
5.0 out of 5 stars,Nice,Protective eye gear for going out with COVID19. Also good for having during a midwest snow ball fight.
5.0 out of 5 stars,very happy and satisfied,"I received the goggles, packaging was not the best, the lenses were wrapped seperately, no instructions, no information at all. but after trying the different lenses, I now have 5 pairs of goggles in 1 !!! they do fit over my medium sized prescription glasses. I have not had any fogging issues and I am sure I will be ordering a pair for my son!! I would say I am very happy happy and satisfied."
4.0 out of 5 stars,Not really poloarized,"Work well, very dark. Strange yellow tint from inside. The barest hint of polarization only, so don't expect that."
5.0 out of 5 stars,Amazing,Better than expected.. sturdy.
5.0 out of 5 stars,"Awesome, worth every penny!",I was nervous buying these at first cause I have never heard of Zionor but after a day at Bristol these goggles proved to be absolutely awesome! I got the polarized silver. Worth every penny. Extremely comfortable and fit great. I had no problem at all with fogging or any cold air coming through. Got a few compliments as well. They are more of a daytime goggle but they worked well at night too.
3.0 out of 5 stars,Fogs,Figs up to easy.
5.0 out of 5 stars,Muy bonitos.,Ciclismo. Alpimismo.
5.0 out of 5 stars,Amazing product,These are so dope
4.0 out of 5 stars,Great goggles/ scratch easily,I loved these goggles. Great build quality and wonderful color. The only negative is that the lens scratches very easy and the goggles must be kept in a protective case.
5.0 out of 5 stars,I'm so glad that I chosen the right and the best goggle,"Not only it's the best, but the most responsible customer care ever. For some reason, (after 350 days after my purchase) I had a foggy experience with it's lens and as this company giving to its buyers 1 full year warranty, they gave me a replacement,BUT HOLD ON; I received a new pair instead of the spare lens.It's so awesome.Highly recommended."
5.0 out of 5 stars,Killer goggles!!,"I *REALLY* dug these goggles on my last ski trip!! They're sooo big they cover almost all my face, but they allowed me a huge viewing radius and were the hit of the ski club I went with!  They never fogged up, despite skiing in clouds, snow, *and* warm sunshine- and they were pretty solid for viewing in all of those conditions, also.  I'm *very* pleased with this purchase and would recommend them to anyone!"
5.0 out of 5 stars,Affordable and great looking. Work well and great visabilty,I like them. I wear sunglasses more than anything so Im used to that. Theyre a great buy.
5.0 out of 5 stars,Just like the high end goggles,These goggles are just like the high end ones but at a more affordable price.  I love the changeable lenses.
3.0 out of 5 stars,Fogged up just walking around.,Just ok.  Fogged up.
5.0 out of 5 stars,For the price you cant ask for any better. I did not notice any fogging,For the price you cant ask for any better. I did not notice any fogging. they actually fogged less than my more expensive spy goggles! you will not regret this purchase 100 percent guarantee! as far as scratching I read in other reviews Oakley's scratch just the same. Treat them like you paid 200 bucks for them and you'll be fine!
5.0 out of 5 stars,good,good.
5.0 out of 5 stars,Excellent product,Great for skiing.
3.0 out of 5 stars,Don't for over my glasses,I bought these to go over my prescription glasses as they advertised bit will not fit over. I still use them without my prescription glasses and they work fine
3.0 out of 5 stars,Pretty decent for money paid,"The vent system is not great, hence the lens fogging up very easily. Other than that, they??e a good buy for someone who?? ski?? just a few times a season."
5.0 out of 5 stars,Very good product. Fits with glasses underneath,They were a different color than I ordered (black instead of silver) but overall very good product
5.0 out of 5 stars,Great goggle!,"I've used my new goggle for 3 days in North Carolina these holidays and had a great time with them. Lens are great, no blur, overall seem to be made of very good materials. I am happy with this purchase!"
1.0 out of 5 stars,NO WAY These are OTG!,"I purchased these because they were sold as an OTG goggle.  I'm an average sized guy and they were too small for my face even without glasses.  I can't imagine how small you would have to be to have these fit over glasses, maybe a kid?"
5.0 out of 5 stars,Spare lens is always a good idea,Nice
2.0 out of 5 stars,I guess it is all up to what you expect,"I just needed a budget pair of night goggles, so I was not expecting much. However this is a HUGE disappointment. No optical plastic for the lens, no anti reflective coating on the inside, no anti-fog coatings.  Massive optical distortion and significant inside reflections. Snowball fights with the kid, sure. Skiing, no, not even close."
5.0 out of 5 stars,Pretty Awesome,"These goggles make for fun pictures and kept the sun from burning my retinas! You can wear these at night, but I wouldn't recommend it if you aren't familiar with the trail and not very good at snowboarding (had to learn the hard way). They didn't fog up, weren't painful, and didn't leave any ugly marks around my eyes after constant wear. I'm a huge fan of these!"
1.0 out of 5 stars,Not a good buy,Lens came in with a small scratch on the outside but had no choice but to use them because they came in right before my trip. Worked great for the first day minus the small scratch. Second day when it snowed they completely became useless. The seal on the top half that snow was hitting started to leak causing moisture build up on the inside of the googles causing them to fog. Once the started leaking and the moisture barrier was broken I actually had lines of water running down the inside of the lens and my forehead. Long story short I had to buy a new pair mountain side.
5.0 out of 5 stars,Perfect,EXACTLY what I needed. I wanted mirrored goggles and I got exactly that for such a good price
5.0 out of 5 stars,Apparent good value. Bought as a shield against contamination.,Over the glasses. Comfortable enough.  Have not had long enough to comment on durability.
5.0 out of 5 stars,Great goggles for the price!,"These are excellent goggles for the price... I bought both the mirrored and yellow lenses to cover both sunny and overcast days.  They are comfortable, don't fog up, and have great visibility.  There are no instructions for changing lenses, but I was able to figure it out fairly easy.  I've used these for about 10 ski days so far and am extremely pleased."
5.0 out of 5 stars,Great product and fantastic price,These goggles are a great deal for the price. I have had no issues with durability or fogging up
5.0 out of 5 stars,Looks,Wore them on the slopes nice glare reduction got comments from opposite sex so all good!
3.0 out of 5 stars,Got scratch on one of them,"I bought two, one of them got scratched when I received it"
5.0 out of 5 stars,Recommended,Good price with good quality
5.0 out of 5 stars,These are without a doubt the best bang for your buck,These are without a doubt the best bang for your buck. Snow machines on all day and ate snow a few times in powdery areas. Very temporary fogging (this happens with pricey models as well guys when you wipe out) but cleared up very fast. I also suggest getting the yellow lenses to swap out for night riding. Couldn't get anything better than these without spending $120+.
5.0 out of 5 stars,Great Goggles,"Love these goggles! Very comfortable, chic, and good quality. Would recommend and buy again"
5.0 out of 5 stars,Fun on the slopes ??,My grandson was  extremely pleased with this product and loved the blue color
4.0 out of 5 stars,Might scratch easily.,Great lense fits perfectly in my old Zionor goggles.
5.0 out of 5 stars,Great Product,Get fogged if you get snow in them but just like any goggles. Really nice looking but affordable. Not as good for powder days but perfect for sunny!
5.0 out of 5 stars,too big for my 12 year old,"great shi goggles, but too big for my 12 year old. They look great on my husband!"
5.0 out of 5 stars,Also they arrived a day earlier than expected which was very nice. I'll be snowboarding soon so I'll leave more ...,I have to say so far I'm impressed with these goggles. I haven't been on the mountains with them yet but I've kind of tested them to see if they would fog up and I haven't been able to fog them up yet. Also they arrived a day earlier than expected which was very nice. I'll be snowboarding soon so I'll leave more details then.
5.0 out of 5 stars,Awesome Snow Goggles,"They are comfortable, stylish, well made and were delivered in a short period of time."
5.0 out of 5 stars,"Great value, hold up great!","I've used these for 3 seasons and they are holding up great. Nice quality, they fit well over my rather large glasses, and they are well ventilated and don't fog. These are a great value!"
1.0 out of 5 stars,Damadged product,Certainly a fine lower cost eyewear option. This product showed up clearly used and damaged with scratches on the front. Very dissapointing as it had otherwsie good reviews. If you want to ensure you are buying truly new undamaged items I would look elsewhere.
5.0 out of 5 stars,great goggles,"These are fabulous. No fog, comfortable fit. I would highly recommend these goggles."
5.0 out of 5 stars,You to buy these,"Bought these for skiing this winter and could not be any happier with them. There is no need to go out and buy a pair of $140+ mirrored goggles when you can buy these. I got a lot of complements this winter on the slopes wearing these. Also are great for day skiing, they do an amazing job at blocking the sun."
5.0 out of 5 stars,Great deal,Great fit and value. I now have 3 pairs for different light conditions.
5.0 out of 5 stars,Good value,You could spend a lot more!
5.0 out of 5 stars,Sweet goggles,Fit in my full face helmet just like I was hoping they're great goggles
5.0 out of 5 stars,Thumbs up,Very comfortable and light weight.  Good value. No blind spots.
4.0 out of 5 stars,Love the goggles,Love the goggles. They don't fog when wearing them however when u rest them on your forehead they tend to fog up. But I love the price and the quality.
4.0 out of 5 stars,Which is the best lens to have for flat light skiing.,The additional yellow lens I bought is not good in flat light...
5.0 out of 5 stars,Fast delivery,Awesome products I love it the snowboard gogles
1.0 out of 5 stars,Fogs up quite easily.,Didn't enjoy snowboarding that much because this kept on fogging up easily. Had to use another one during our trip.
3.0 out of 5 stars,If you're buying these goggles for the cool reflective surface then DO NOT BUY!!!!,"I initially I bought the ""Polarized"" silver goggles mainly because of the cool reflective surface and the polarization feature. But after only one day of snowboarding the polarized silver completely rubbed off and the goggles no longer have any reflective surface left. Even the slightest of touch with my ski gloves rubbed the the reflective surface off. But besides the reflective surface they seem to work great."
5.0 out of 5 stars,PROMPLTY SHIPPED AND WELL RECEIVED EXCELLENT SERVICE.,"GOOD QUALITY, AND GOOD PROTECTION. THANKS."
5.0 out of 5 stars,Perfect googles,Ordered two pairs of these for a ski trip  and I loved them. I never had an issue with fogging in four days of skiing. Is recommend them to anyone.
5.0 out of 5 stars,BUY these! They're comparable to other goggles that are $150+,"Great! Lasted two whole days at Gore Mountain. Great sun protection. Fog free (on the inside). The outside fogged due to breathing, but cleared up no problem. Typical goggle problems. For the price, i think it held up great compared to my buddies' $150 pair of goggles. Replacement lenses seem hard to come by but judging by the yellow lens, they seem cheap and reasonable with great performance. Would recommend."
5.0 out of 5 stars,Great Goggles & Super Value,Great goggles.  Sharp clear lenss.  Lightweight and comfortable.
5.0 out of 5 stars,Awesome!,Works Great and Love that they are interchangeable.
5.0 out of 5 stars,Visibility was great and the polar lense was perfect to take the ...,I wanted to make sure I got to use them before I wrote my review. Delivery was fast and I was impressed with the appearance and quality already and after using them in negative temperatures in Alaska I am still very impressed. Visibility was great and the polar lense was perfect to take the glare off the snow.
5.0 out of 5 stars,Great goggles,Loving my new goggles! These are stylish and they work very well. They come with a bag to keep them in. They fit very well. I don't see anything that separates them from $150 pairs of goggles. So if you want to look good and she well while riding down the mountain these are a good choice.
4.0 out of 5 stars,Nice Goggles,"Good product.  Fogged up a little, but great visibility."
5.0 out of 5 stars,Love them,I love these goggles I ware them everyday at work
5.0 out of 5 stars,I am pretty happy with the goggles,"I am pretty happy with the goggles. they do fog slightly on a foggy day or when one is sweaty, but i am very happy with them for the price. These actually work just as well, if not better, than my  expensive smith optics goggles and they cost half the price."
4.0 out of 5 stars,Great!,They fog up but they??e great other than that
5.0 out of 5 stars,"If you ski only every couple of years like me, you will not be disappointed.","Goggles worked well, didn?? fog, and was a good value for the money."
5.0 out of 5 stars,which rests nicely on the nasal bridge CONS,"PROS:-Nicely constructed, hardy materials-Stylish colors and design-Works well with helmets-Easily adjustable size settings-Impermeable to wind and other harsh conditions-Exquisite comfort/ample interior lining, which rests nicely on the nasal bridgeCONS:-Lens tent is probably too dark/dim for night-skiing or poorly lighted areas"
5.0 out of 5 stars,These are super comfy and look so freaking awesome on,These are super comfy and look so freaking awesome on! They are super reflective and as long as you store them nicely they don't get too beat up as long as you are careful. Stood up through both ski trips and burning man and still look great!
5.0 out of 5 stars,Solid Goggles!,"Just returned from a trip to Mammoth where I used these goggles on both snowy and very sunny days. I absolutely love them! They fit great, do not fog and are super stylish. I also bought the smaller size for my son and he was very happy with them as well. Good product for the money."
4.0 out of 5 stars,Great value,"I love these goggles, you can't beat the price."
5.0 out of 5 stars,I bought these for my snowboarding adventures and I love them. I have use them on sunny days,"I bought these for my snowboarding  adventures and I love them. I have use them on sunny days, snow days, and overcast days. I have a smaller face and they fit perfect. My has been more than one day and he ended up ordering a pair"
4.0 out of 5 stars,"Very nice product, beautiful but somewhat small for me","Very nice product, beautiful but somewhat small for me....The down side is that despite taking really care, the lens scratched a bit.... Apparently scratches easily..."
5.0 out of 5 stars,Worth The Money,"Exactly as described, no complaints as they fulfilled their purpose! Great buy!"
5.0 out of 5 stars,Would recommend,Cool and comfortable goggles!
5.0 out of 5 stars,Worked great on the slopes,"Worked great on the slopes.  I skied for 5-6 hours and they only fogged up one time.  easy to slip over the helmet, and stayed in place well.  The snow was very bright without the goggles but it was easy to see with them on.  im very pleased with these."
3.0 out of 5 stars,"Great, cheap but not very durable","I got the Lagopus X2 all black version and went up to Tahoe with them in March. I really loved them, especially on the sunnier days. Really good FoV and clarity. I really wanted to like then, but my only gripe is that they aren't very durable. I fell once and now have a massive scratch which is why I'm giving them just 3 stars instead of 5."
5.0 out of 5 stars,Better than my $200 Smith goggles!,"These goggles are great! I've bought a cheap pair of Bolle goggles for $18, and they were alright but not very stylish. I've also bought $200 Smith goggles, and they were the same quality as these. These look great, feel great (nice foam around the face), and are a reasonable price. Definitely would buy again!"
5.0 out of 5 stars,the lens color was pretty much right in the middle so good for bright ...,"For the price I give it 5 stars. Goggles didn't fog up on me hardly at all, the lens color was pretty much right in the middle so good for bright sunny days and good for snowy overcast days.  Plus they look cool.. looks like a pair 2 or 3 times as much."
3.0 out of 5 stars,"Decent starter goggle, watch out for scratching","Beware scratching the lenses, which leaves scratches in your eyesight. I would imagine after time, just from normal use, you could probably wear a hole through the tint.Con: the clasp for the straps is so fragile. I received one pair with a broken clasp and had to send back. Seems like the weak link in the design. Overall, though, keeps out fog pretty well and looks great"
4.0 out of 5 stars,"fit great, but fog easily","These goggles fit great and look nice, but we could not keep them from fogging up."
5.0 out of 5 stars,Great Buy!,"I purchased these as a gift for my wife. She says she looks like a bug, but a cute one at that. They are really nice, they fit over her glasses for outdoor sports and winter bike riding. She doesn't wear contacts so it is very helpful so she can see. Great buy!"
5.0 out of 5 stars,Great ????,Very nice
4.0 out of 5 stars,Looks great but scratches very easy,"Looks great and is comfortable however upon first day of use, it got scratched by my jacket  while attached to my helmet. I would have expected a little more durability."
3.0 out of 5 stars,I think this goggle should include a nice hard case for better protection when I placed the ...,"I bought this for my husband. Looks OK for me but have no chance to use it yet. Will update how it works after at least one run in the mountains. The only complain currently is, there is no hard case with the goggle. I think this goggle should include a nice hard case for better protection when I placed the order, but not in the package at all."
5.0 out of 5 stars,I will oder again ty,Ty can't wait to wear it
3.0 out of 5 stars,Ok if you don?? plan on falling,One hard fall and the inside lens cracked. Before that they looked nice and felt good...
3.0 out of 5 stars,"These were OK, but I melted the lens on my dashboard heater trying to dry them on the way home from my first use.","These were OK, but I melted the lens on my dashboard heater trying to dry them on the way home from my first use. Don't do that and you'll be fine. My heater isn't any hotter than any other car, so it was a surprise to me that it occurred, just be aware."
5.0 out of 5 stars,Easy on the eyes and wallet,For the price I was blown away..
3.0 out of 5 stars,Well I thought I was getting goggles which had a ...,Well I thought I was getting goggles which had a magnetic clip release but rather I got the ones which are much more difficult to remove. It?? dissapointing that online advertisement wasn?? clear about that. The fact is if I knew this I wouldn?? have bought them.
5.0 out of 5 stars,Best of the price,"Wore these all season long, and they never fogged up. They're comfortable to wear all day. I like the idea of being able to swap the lenses out to change the look also. They perform better than my old $200+ goggles."
1.0 out of 5 stars,Fogged up immediately,"Fogged up immediately! I bought cheap sunglasses instead at the resort gift shop. While i was at the top of the mountain i tried everything to get them to work without wiping them as the instructions say, including adding venting, but ultimately they just sucked. I cant return them as adding venting violated condition for return, but I was desperate and it was very bright that day. I would never buy this again, very disappointing as i had another pair that worked fine and i got complements on their look."
5.0 out of 5 stars,As good as Oakleys for a quarter of the price!,"Got these for my teenage son and he loves them!  They are light, cool looking, and the visibility out of them is great.  The best part is they don't cost $250 like similar Oakley's (which are way way over priced!)."
4.0 out of 5 stars,quick delivery - can recommend these ones for OTG,"Worked perfectly well. In addition, quick delivery - can recommend these ones for OTG."
5.0 out of 5 stars,Fits well,"It all fit well, liked the look of if"
4.0 out of 5 stars,Lightweight and durable,"Very sleek, love the all black"
1.0 out of 5 stars,"Fogged up between the lenses, beware!","At first I thought these goggles were great especially for the price. But then the second time I went riding they fogged up really badly and it wasn't on the inside or the outside, it was actually in between the double lens system so it could not be cleared by wiping either side! Fogging between the lenses is a deal-breaker, I'd return these except on two days past my Amazon return window. I hope the seller can make this right with me and replace them. I will edit this review if they do."
5.0 out of 5 stars,"Great Deal, Comfty, Stylish, Durable",These are great goggles for the price. No problems with fogging up and they are very comfortable! They also look really cool on too!
5.0 out of 5 stars,Great customer service from Zionor,Got these and had an issue with my pair and the Zionor customer service was amazing with replacing them!
1.0 out of 5 stars,Could not return,Did not like the fact that I couldn?? return the item there was no return code to send item back.
1.0 out of 5 stars,They're cute....but fog up no matter how I put them on.,"I moved to Kotzebue Alaska, these goggles are cute...but I actually need eye protection here. And they just fog up no matter how I put them on. They scratch easily too."
5.0 out of 5 stars,good price for what you get,good price for what you get
5.0 out of 5 stars,The value,I like the comfort of the product.
1.0 out of 5 stars,Comically small,Must be meant for youth. Definitely won't fit over glasses as advertised. Barley fits a small womans face. Not even close to fitting over adult glasses.
5.0 out of 5 stars,Worth every penny,"Never fogged up, comfortable and durable!"
3.0 out of 5 stars,Not for glasses,The goggles are listed as over glasses but I question that! I wear small frame glasses and they didn?? fit well. Other than that the quality looks good and the strap fits over the helmet I wear.
5.0 out of 5 stars,Good Buy,Fitted well never fogged up even when my glasses did. They fitted over my half frame glasses perfectly. Only skied in sunny weather so they were not too dark. The polarizing is a great feature on sunny days.
4.0 out of 5 stars,littler brother loved part of his birthday present,littler brother loved part of his birthday present. looks great still no word on how good it works in the field.
5.0 out of 5 stars,"great look. ""Anti-Fog"" - while it doesn't make it ...","Works very well, great look.""Anti-Fog"" - while it doesn't make it 100% clear 100% of the time, it does well in that area; NOT perfect though, but still works good."
5.0 out of 5 stars,Excellent Ski Goggles!,Sleek look. Work well. Highly recommend!
4.0 out of 5 stars,very nice,Great optics and clips on the frame side make it very easy to use the cover-sleeve while still attached to your helmet.The fit is a bit snug on the sides.  Best for a medium sized head.
5.0 out of 5 stars,Value!!?,Great buy for the $$
2.0 out of 5 stars,Foggy,I was super excited to wear these snowboarding but was extremely disappointed when they just kept fogging up. I kept having to dry them and ended up not wearing them at all.
5.0 out of 5 stars,Cool and well made,Cool goggles. Held up in massive snow fall
4.0 out of 5 stars,Little large but still great for price.,Worked very well on my 2 trips this year. No fogging problems. They are a little large though so rough finding a good fit with a helmet.
5.0 out of 5 stars,Looks great,"Haven?? boarded in them yet, but quality appears to be good.  Service from seller was great - prompt, no issues, etc."
3.0 out of 5 stars,Won't fit over my glasses,"Seems like a lovely product, but won't actually fit over my glasses like my older Scott goggles do (I wear size XL hats; maybe that's got something to do with it)."
4.0 out of 5 stars,great ski goggles for OTG,"great ski goggles, especially if you need OTG"
5.0 out of 5 stars,Super bad ass,"Super bad ass! Bought for my brother who is a chronic snowboarder. They don't fog up and they really help with the son, he bought an extra pair for his gf!"
5.0 out of 5 stars,LOVE these! great for the sun,LOVE these! great for the sun. I would stay away from the mirror lens if you are riding in darker weather. For sun its amazing and I never had problems with it.
5.0 out of 5 stars,"Cool goggles, colors are slightly off than the picture shows","Thsee blue goggles are a little more purple than blue, so if you don't mind the mix of the two colors than you'll love this product. If you just want pure blue, I wouldn't buy this color."
5.0 out of 5 stars,Very nice..,"Very nice... Fits well,  well ventilated, had to wipe snow from the lens a few times and the lens is still crystal clear, not a smug on it.  The strap is very well made.... I don't think it will go slack any time soon."
1.0 out of 5 stars,I doubt il buy from this company again.,My lens  arrived scratched. I sent an email to the company but i doubt they will get back to me because it bounced back saying their email is full. I'm assuming that means i'm now stuck with goggles with multiple scratches on the lens and 35 dollars poorer. If for some reason they get back to me with a refund or a replacement i'm happy to change my review because they seem like fine goggles for this price point. I doubt that will happen though.
3.0 out of 5 stars,These have a really good range of visiona nd do not fog,"These have a really good range of visiona nd do not fog, however negatives as they are so curved that the part that you view out of can scratch very easily so you have to take great care to get the cover back on when not in use."
5.0 out of 5 stars,Work great at half the price!,Wore these on a bright day at Breckenridge and a snowy windy day and they worked great!  Got lots of compliments on the cool style as well.
1.0 out of 5 stars,Distorted vision,Vision is completely distorted.  I didn't realize it until after the return window closed.  Completely useless.
2.0 out of 5 stars,Broken after one use,"Wore these out skiing ONCE - I did not have them strapped tightly at all and the plastic that holds the band in place to the goggles snapped.  They were otherwise fine, didn't fog and were comfortable.  At least I was able to return for a full refund as I hadn't even had them 30 days yet."
4.0 out of 5 stars,Purchased as a gift. Arrived quickly. No issues ...,Purchased as a gift.  Arrived quickly. No issues.
5.0 out of 5 stars,Great deal,My son loves these.
5.0 out of 5 stars,Great google,"We bought the googles for snowmobiling. They we perfect. They didn?? fog up, and the clarity was as described."
5.0 out of 5 stars,Fits good,Looks good for the price
5.0 out of 5 stars,Best goggles for the price,"Awesome goggles, they look sick. I haven't gotten a chance to try them outside but I have no doubt that they will work. For $50 you can't beat it, I was gonna buy a pair of Oakley's for $200, but this is just as good."
